source_text,original_description,cleaned_description,prefill_merchant_in_csv,local_provider,local_direction,local_counterparty,local_pick_merchant,local_is_unknown,server_provider,server_direction,server_counterparty,server_prefill_merchant,server_ai_merchant,server_final_decision,final_decision,decision_source
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
DFS ITALIA srl Venezia ITA,,,DFS Italia,unknown,,,Dfs Italia Srl Venezia,0,,,,,,,Dfs Italia Srl Venezia,local
STELLA SHOP VENEZIA ITA,,,Stella Shop,unknown,,,Stella Shop Venezia Ita,0,,,,,,,Stella Shop Venezia Ita,local
"WF Credit Card AUTO PAY 250221 FALENI,MICHEL",,,Financial Transactions,unknown,,,Wf Card Auto Pay,0,,,,,,,Wf Card Auto Pay,local
JACK DUGGAN S PUB 00PHILADELPHIA,,,Jack Duggan's Pub,unknown,,,Jack Duggan S Pub,0,,,,,,,Jack Duggan S Pub,local
BAR AUTORIMESSA VE VENEZIA ITA,,,Bar Autorimessa,unknown,,,Bar Autorimessa Ve Venezia,0,,,,,,,Bar Autorimessa Ve Venezia,local
DARSENA AEROPORTO M. P VENEZIA ITA,,,Darsena,unknown,,,Darsena Aeroporto M. P,0,,,,,,,Darsena Aeroporto M. P,local
DARSENA AEROPORTO M. P VENEZIA ITA,,,Darsena,unknown,,,Darsena Aeroporto M. P,0,,,,,,,Darsena Aeroporto M. P,local
TRATTORIA DA GIOIA VENEZIA ITA,,,Trattoria Da Gioia,unknown,,,Trattoria Da Gioia Venezia,0,,,,,,,Trattoria Da Gioia Venezia,local
AMAZON MKTPL*EC35J2LZ3 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*IL4LB9PN3 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*SR8X97U03 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMZN Mktp US*ID9WI8ME3 Amzn.com/billWA,,,Amazon,unknown,,,Amzn Mktp Us Amzn.Com/Billwa,0,,,,,,,Amzn Mktp Us Amzn.Com/Billwa,local
ZELLE TO SEBASTIAN CAMINERO ON 02/20,,,Sebastian Caminero,zelle,to,SEBASTIAN CAMINERO ON 02,Zelle To SEBASTIAN CAMINERO ON 02,0,,,,,,,Zelle To SEBASTIAN CAMINERO ON 02,local
CITY BAR DI VISENTIN O CASSOLA ITA,,,City Bar,unknown,,,City Bar Di Visentin,0,,,,,,,City Bar Di Visentin,local
RISTORANTE BAR AGORA' DESENZANO DEL ITA,,,Ristorante Bar Agora',unknown,,,Ristorante Bar Agora' Desenzano,0,,,,,,,Ristorante Bar Agora' Desenzano,local
FPL DIRECT DEBIT ELEC PYMT 02/25 PPDA MICHEL R FALENI,,,FPL,unknown,,,Fpl Direct Elec Pymt,0,,,,,,,Fpl Direct Elec Pymt,local
JPMorgan Chase Ext Trnsfr 250219 MICHEL FALENI FERNANDE,,,Car Mich,unknown,,,Jpmorgan Chase Ext Trnsfr,0,,,,,,,Jpmorgan Chase Ext Trnsfr,local
CITY BAR DI VISENTIN O CASSOLA ITA,,,City Bar,unknown,,,City Bar Di Visentin,0,,,,,,,City Bar Di Visentin,local
CITY BAR DI VISENTIN O CASSOLA ITA,,,City Bar,unknown,,,City Bar Di Visentin,0,,,,,,,City Bar Di Visentin,local
DOLCE BASSANO SNC BASSANO DEL G ITA,,,Dolce Bassano,unknown,,,Dolce Bassano Snc Bassano,0,,,,,,,Dolce Bassano Snc Bassano,local
PMT*VEHICLE TAG RENEW MIAMI,,,Tag Renewal,unknown,,,Pmt Vehicle Tag Renew,0,,,,,,,Pmt Vehicle Tag Renew,local
SIS SRL BASSANO DEL G ITA,,,SIS,unknown,,,Sis Srl Bassano Del,0,,,,,,,Sis Srl Bassano Del,local
"SQ *MASF DOCS, LLC MIAMI SPRINGS",,,Dr. Santos,unknown,,,"Sq Masf Docs, Llc",0,,,,,,,"Sq Masf Docs, Llc",local
MOBILE DEPOSIT : REF NUMBER :310170317402,,,Financial Transactions,unknown,,,Mobile Number,0,,,,,,,Mobile Number,local
NON-WELLS FARGO ATM TRANSACTION FEE,,,Financial Transactions,unknown,,,Non-Wells Fargo Atm,0,,,,,,,Non-Wells Fargo Atm,local
NON-WF ATM WITHDRAWAL AUTHORIZED ON 02/17 VIA MONTEGRAPPA 1 BASSANO DEL G ITA ATM,,,Montegrappa,unknown,,,Non-Wf Atm Authorized On,0,,,,,,,Non-Wf Atm Authorized On,local
RECURRING TRANSFER FROM FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring From Faleni M,0,,,,,,,Recurring From Faleni M,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON RETA* Z71PU6QY2 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
"BK OF AMER MC ONLINE PMT 250218 CKF828154125POS FALENI FERNANDEZ,MICHE",,,Bank of America,unknown,,,Bk Of Amer Mc,0,,,,,,,Bk Of Amer Mc,local
"BK OF AMER MC ONLINE PMT 250218 CKF828154125POS FALENI FERNANDEZ,MICHE",,,Bank of America,unknown,,,Bk Of Amer Mc,0,,,,,,,Bk Of Amer Mc,local
ONLINE TRANSFER FROM PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,From Personal Line Of,0,,,,,,,From Personal Line Of,local
RECURRING TRANSFER TO FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
RECURRING TRANSFER TO FALENI M PLATINUM SAVINGS,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
183 - VERONA ITA,,,Restaurant,unknown,,,Verona Ita,0,,,,,,,Verona Ita,local
183 - VERONA ITA,,,Restaurant,unknown,,,Verona Ita,0,,,,,,,Verona Ita,local
CASA DEL CAFFE' VERONA ITA,,,Casa del Caffè,unknown,,,Casa Del Caffe' Verona,0,,,,,,,Casa Del Caffe' Verona,local
CHARGET VERONA ITA,,,Charge,unknown,,,Charget Verona Ita,0,,,,,,,Charget Verona Ita,local
Hotel Milano Verona ITA,,,Hotel Milano,unknown,,,Hotel Milano Verona Ita,0,,,,,,,Hotel Milano Verona Ita,local
LABCORP8008456167 800-845-6167,,,Labcorp,unknown,,,Unknown,1,,,,,,,Unknown,local
PHR*DIGESTIVEMEDICINE HIALEAH,,,Digestive Medicine,unknown,,,Phr Digestivemedicine Hialeah,0,,,,,,,Phr Digestivemedicine Hialeah,local
TST* ADRIAN FISH MARKE HIALEAH GARDE,,,Adrian Fish Market,unknown,,,Tst Adrian Fish Marke,0,,,,,,,Tst Adrian Fish Marke,local
AMAZON MKTPL*YR45G1TH3 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
BA ELECTRONIC PAYMENT,,,Financial Transactions,unknown,,,Ba Electronic Payment,0,,,,,,,Ba Electronic Payment,local
BA ELECTRONIC PAYMENT,,,Financial Transactions,unknown,,,Ba Electronic Payment,0,,,,,,,Ba Electronic Payment,local
AEROP. ADOLFO SUAREZ M MADRID ESP,,,Adolfo Suárez Madrid-Barajas,unknown,,,Aerop. Adolfo Suarez M,0,,,,,,,Aerop. Adolfo Suarez M,local
CHEVRON 0204900 855-285-9595,,,Chevron,unknown,,,Chevron,0,,,,,,,Chevron,local
EMPORIO DEL GRANO VENEZIA ITA,,,Emporio del Grano,unknown,,,Emporio Del Grano Venezia,0,,,,,,,Emporio Del Grano Venezia,local
MARATHON PETRO109553 CLEWISTON,,,Marathon Petroleum,unknown,,,Marathon Clewiston,0,,,,,,,Marathon Clewiston,local
MARATHON PETRO145524 WESTON,,,Marathon Petroleum,unknown,,,Marathon Weston,0,,,,,,,Marathon Weston,local
TST*LABELLE BREWING CO Labelle,,,Labelle Brewing Co,unknown,,,Tst Labelle Brewing Co,0,,,,,,,Tst Labelle Brewing Co,local
7-ELEVEN 41127 00074LABELLE,,,7-Eleven,unknown,,,-Eleven,0,,,,,,,-Eleven,local
MARATHON PETRO109553CLEWISTON,,,Marathon Petroleum,unknown,,,Marathon,0,,,,,,,Marathon,local
CAPPUCCINO MADRID MADRID ESP,,,Cappuccino,unknown,,,Cappuccino Madrid Madrid Esp,0,,,,,,,Cappuccino Madrid Madrid Esp,local
CHEVRON 0204900 855-285-9595,,,Chevron,unknown,,,Chevron,0,,,,,,,Chevron,local
LA MALLORQUINA VELAZQU MADRID ESP,,,La Mallorquina,unknown,,,La Mallorquina Velazqu Madrid,0,,,,,,,La Mallorquina Velazqu Madrid,local
LAZ PARKING M06285-2 P DORAL,,,LAZ Parking,unknown,,,Laz Parking P Doral,0,,,,,,,Laz Parking P Doral,local
OYSHO MADRID ESP,,,Oysho,unknown,,,Oysho Madrid Esp,0,,,,,,,Oysho Madrid Esp,local
RTE MARISQUERIA EL BAR MADRID ESP,,,Rte Marisqueria El Bar,unknown,,,Rte Marisqueria El Bar,0,,,,,,,Rte Marisqueria El Bar,local
SANCOCHO Y LENA STEAK SOUTHWEST RAN,,,Sancocho y Lena Steak,unknown,,,Sancocho Y Lena Steak,0,,,,,,,Sancocho Y Lena Steak,local
TABERNA LOS GALLOS MADRID ESP,,,Taberna Los Gallos,unknown,,,Taberna Los Gallos Madrid,0,,,,,,,Taberna Los Gallos Madrid,local
MIA SUSHI MAKI D(A) MIAMI,,,Mia Sushi Maki,unknown,,,Mia Sushi Maki D(A),0,,,,,,,Mia Sushi Maki D(A),local
TATEL MADRID MADRID ESP,,,Tatel,unknown,,,Tatel Madrid Madrid Esp,0,,,,,,,Tatel Madrid Madrid Esp,local
TATEL MADRID MADRID ESP,,,TATEL,unknown,,,Tatel Madrid Madrid Esp,0,,,,,,,Tatel Madrid Madrid Esp,local
TST*GUSTO Doral,,,Gusto,unknown,,,Tst Gusto Doral,0,,,,,,,Tst Gusto Doral,local
UM MY CHART BILLING MIAMI,,,UM MY CHART,unknown,,,Um My Chart Billing,0,,,,,,,Um My Chart Billing,local
"BUS TELE SVCS DIRECT DEP 250214A2Q FALENI,MICHEL",,,BUS TELE SVCS,unknown,,,Bus Tele Svcs Direct,0,,,,,,,Bus Tele Svcs Direct,local
CITI CARD ONLINE PAYMENT 250213 MICHEL FALENI,,,Financial Transactions,unknown,,,Citi Card Michel Faleni,0,,,,,,,Citi Card Michel Faleni,local
CITI CARD ONLINE PAYMENT 250213 MICHEL FALENI,,,Financial Transactions,unknown,,,Citi Card Michel Faleni,0,,,,,,,Citi Card Michel Faleni,local
NATL GEN INS*RECURRING 800-462-2123,,,NATL GEN INS,unknown,,,Natl Gen Ins Recurring,0,,,,,,,Natl Gen Ins Recurring,local
"ONLINE PAYMENT, THANK YOU",,,Financial Transactions,unknown,,,Thank You,0,,,,,,,Thank You,local
ONLINE TRANSFER FROM PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,From Personal Line Of,0,,,,,,,From Personal Line Of,local
BMW BANK BMWFS PYMT 250211,,,Moto,unknown,,,Bmw Bank Bmwfs Pymt,0,,,,,,,Bmw Bank Bmwfs Pymt,local
ONLINE TRANSFER TO PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,To Personal Line Of,0,,,,,,,To Personal Line Of,local
SPIRIT A48704250342850 MIRAMAR FLNAME: FALENI/M DEPART:02/11/2025,,,Spirit,unknown,,,Spirit Miramar Flname Faleni/M,0,,,,,,,Spirit Miramar Flname Faleni/M,local
ONLINE TRANSFER TO BROUGH A EVERYDAY CHECKING ENTRADAS COLUMBUS,,,Transfers,unknown,,,To Brough A Everyday,0,,,,,,,To Brough A Everyday,local
ONLINE TRANSFER TO BROUGH A EVERYDAY CHECKING QUEST DEDUCIBLE,,,Transfers,unknown,,,To Brough A Everyday,0,,,,,,,To Brough A Everyday,local
AMAZON RETA* Z97FI6RS1 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
Coinbase.com 6A9ZK54W 6A9ZK54We765 MICHEL FALENI,,,Coinbase,unknown,,,Coinbase.Com Michel Faleni,0,,,,,,,Coinbase.Com Michel Faleni,local
LS MOTOR SHOP CENTER L MIAMI,,,LS MOTOR SHOP,unknown,,,Ls Motor Shop Center,0,,,,,,,Ls Motor Shop Center,local
MIAMI AIRP BOOKS AND B MIAMI,,,Miami Airp Books,unknown,,,Miami Airp Books And,0,,,,,,,Miami Airp Books And,local
ATT* BILL PAYMENT 800-331-0500 TX S585039464590537,,,ATT,unknown,,,Att Bill Payment Tx,0,,,,,,,Att Bill Payment Tx,local
NETFLIX.COM NETFLIX.COM CA S305040353240696,,,Netflix,unknown,,,Netflix.Com Netflix.Com Ca,0,,,,,,,Netflix.Com Netflix.Com Ca,local
SUNPASS*ACC613078 888-865-5352 FL S385040395961758,,,SUNPASS,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
AT&T UVERSE PAYMENT,,,AT&T,unknown,,,At&T Uverse Payment,0,,,,,,,At&T Uverse Payment,local
ZELLE FROM LENIN CARDENAS ON 02/10 REF # BACKO436W6BG,,,Zelle,zelle,from,LENIN CARDENAS ON 02,Zelle From LENIN CARDENAS ON 02,0,,,,,,,Zelle From LENIN CARDENAS ON 02,local
ZELLE FROM LENIN CARDENAS ON 02/10 REF # BACQ64OAATP3,,,Zelle,zelle,from,LENIN CARDENAS ON 02,Zelle From LENIN CARDENAS ON 02,0,,,,,,,Zelle From LENIN CARDENAS ON 02,local
ZELLE TO PADOVAN SAMUEL ON 02/09 SUPERBOWL,,,Padovan Samuel,zelle,to,PADOVAN SAMUEL ON 02,Zelle To PADOVAN SAMUEL ON 02,0,,,,,,,Zelle To PADOVAN SAMUEL ON 02,local
EXPERIAN* CREDIT REPO COSTA MESA,,,Experian,unknown,,,Experian Repo Costa Mesa,0,,,,,,,Experian Repo Costa Mesa,local
PUBLIX #1492 DORAL,,,Publix,unknown,,,Publix Doral,0,,,,,,,Publix Doral,local
TST* GRAZIANOS MARKET DORAL,,,Grazianos Market,unknown,,,Tst Grazianos Market Doral,0,,,,,,,Tst Grazianos Market Doral,local
NIC*-PBS FL STATE PRTALLAHASSEE,,,Parking,unknown,,,Nic -Pbs Fl State,0,,,,,,,Nic -Pbs Fl State,local
UM MY CHART BILLING MIAMI,,,UM MY CHART,unknown,,,Um My Chart Billing,0,,,,,,,Um My Chart Billing,local
CHEVRON 0204900 855-285-9595,,,Chevron,unknown,,,Chevron,0,,,,,,,Chevron,local
HAAGEN DAZS ICE CREAM MIAMI BEACH,,,Haagen Dazs,unknown,,,Haagen Dazs Ice Cream,0,,,,,,,Haagen Dazs Ice Cream,local
MOTOR SHOP CENTER DORAL,,,MOTOR SHOP CENTER,unknown,,,Motor Shop Center Doral,0,,,,,,,Motor Shop Center Doral,local
TOTALWINE 932 DIGITAL DORAL,,,Total Wine,unknown,,,Totalwine Digital Doral,0,,,,,,,Totalwine Digital Doral,local
EL CAR WASH #6      MIAMI,,,EL CAR WASH,unknown,,,El Car Wash Miami,0,,,,,,,El Car Wash Miami,local
MB-PARKING PARKMOBILMIAMI BEACH,,,MB-PARKING,unknown,,,Mb-Parking Parkmobilmiami Beach,0,,,,,,,Mb-Parking Parkmobilmiami Beach,local
KOKAI SUSHI & LOUNGE DORAL,,,Kokai Sushi & Lounge,unknown,,,Kokai Sushi Lounge Doral,0,,,,,,,Kokai Sushi Lounge Doral,local
AMERICANAIRLINES PACIRVINE,,,American Airlines,unknown,,,Americanairlines Pacirvine,0,,,,,,,Americanairlines Pacirvine,local
ZELLE FROM MOE NATHAN ON 02/07 REF # PP0YHVDXKG,,,Moe Nathan,zelle,from,MOE NATHAN ON 02,Zelle From MOE NATHAN ON 02,0,,,,,,,Zelle From MOE NATHAN ON 02,local
INTEREST CHARGED ON PURCHASES,,,Financial Transactions,unknown,,,Charged On Purchases,0,,,,,,,Charged On Purchases,local
ONLINE TRANSFER FROM PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,From Personal Line Of,0,,,,,,,From Personal Line Of,local
Guarantee Manage RESIDENT,,,Guarantee Management,unknown,,,Guarantee Manage Resident,0,,,,,,,Guarantee Manage Resident,local
RECURRING TRANSFER TO FALENI M PLATINUM SAVINGS CAR INSURANCE REPAYMENT TO SAVINGS,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
ZELLE TO BASKETBALL CHARLIE ON 02/05 BASKET LORENZO,,,Basketball Charlie,zelle,to,BASKETBALL CHARLIE ON 02,Zelle To BASKETBALL CHARLIE ON 02,0,,,,,,,Zelle To BASKETBALL CHARLIE ON 02,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
CHASE CREDIT CRD AUTOPAY 250204 FALENI MICHEL R,,,Car Mich,unknown,,,Chase Crd Autopay Faleni,0,,,,,,,Chase Crd Autopay Faleni,local
ONLINE TRANSFER FROM PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,From Personal Line Of,0,,,,,,,From Personal Line Of,local
"BK OF AMER MC ONLINE PMT 250204 CKF828154125POS FALENI FERNANDEZ,MICHE",,,Bank of America,unknown,,,Bk Of Amer Mc,0,,,,,,,Bk Of Amer Mc,local
COINBASE INC. 250204 RTL-PDPBPQ76 MICHEL FALENI,,,Coinbase,unknown,,,Coinbase Inc. Rtl- Michel,0,,,,,,,Coinbase Inc. Rtl- Michel,local
ONLINE TRANSFER TO PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,To Personal Line Of,0,,,,,,,To Personal Line Of,local
Kukenam Summer C 250131 87774835 ANDREINA FALENI ANDREI,,,Kukenam,unknown,,,Kukenam Summer C Andreina,0,,,,,,,Kukenam Summer C Andreina,local
MDWS M-DWASDPMT 250131 MICHEL FALENI,,,Water Bill,unknown,,,Mdws M-Dwasdpmt Michel Faleni,0,,,,,,,Mdws M-Dwasdpmt Michel Faleni,local
PENNYMAC CASH Feb 25-0053 Michel Faleni,,,Balmoral Estates,unknown,,,Pennymac Cash Feb Michel,0,,,,,,,Pennymac Cash Feb Michel,local
RECURRING TRANSFER FROM FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring From Faleni M,0,,,,,,,Recurring From Faleni M,local
SUNPASS*ACC613078 888-865-5352 FL S385032607100359,,,SunPass,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
ZELLE TO BASKETBALL CHARLIE ON 02/01 LORENZO BASCKET,,,Basketball Charlie,zelle,to,BASKETBALL CHARLIE ON 02,Zelle To BASKETBALL CHARLIE ON 02,0,,,,,,,Zelle To BASKETBALL CHARLIE ON 02,local
ZELLE TO ROMERO YELITZA COSTURERA DORAL ON 02/02 PANTALONES,,,Yelitza Romero,zelle,to,ROMERO YELITZA COSTURERA DORAL ON 02,Zelle To ROMERO YELITZA COSTURERA DORAL ON 02,0,,,,,,,Zelle To ROMERO YELITZA COSTURERA DORAL ON 02,local
AMAZON MKTPL*Z79I47TE0 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*ZC5KY0231 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
BA ELECTRONIC PAYMENT,,,Financial Transactions,unknown,,,Ba Electronic Payment,0,,,,,,,Ba Electronic Payment,local
APPLECARD GSBANK PAYMENT 020125 1881361 Michel Faleni,,,Apple Card,unknown,,,Applecard Gsbank Payment Michel,0,,,,,,,Applecard Gsbank Payment Michel,local
RECURRING TRANSFER TO FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
RECURRING TRANSFER TO FALENI M PLATINUM SAVINGS,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
UKVI ETAMOB00000089307 LONDON GBR,,,Restaurant,unknown,,,Ukvi London Gbr,0,,,,,,,Ukvi London Gbr,local
CHEVRON 0204900 855-285-9595,,,Chevron,unknown,,,Chevron,0,,,,,,,Chevron,local
CITY OF MIAMI BEACHQPS MIAMI BEACH,,,City of Miami Beach,unknown,,,City Of Miami Beachqps,0,,,,,,,City Of Miami Beachqps,local
MEAT CLUB MARKET DORAL,,,Meat Club Market,unknown,,,Meat Club Market Doral,0,,,,,,,Meat Club Market Doral,local
NETFLIX.COM         866-579-7172,,,Netflix,unknown,,,Netflix.Com,0,,,,,,,Netflix.Com,local
CHEVRON 0204900 DORAL,,,Chevron,unknown,,,Chevron Doral,0,,,,,,,Chevron Doral,local
CITY OF MIAMI BEACHQPS MIAMI BEACH,,,City of Miami Beach,unknown,,,City Of Miami Beachqps,0,,,,,,,City Of Miami Beachqps,local
CITY OF MIAMI BEACHQPS MIAMI BEACH,,,City of Miami Beach,unknown,,,City Of Miami Beachqps,0,,,,,,,City Of Miami Beachqps,local
PUBLIX #1571 DORAL,,,Publix,unknown,,,Publix Doral,0,,,,,,,Publix Doral,local
INTEREST PAYMENT,,,Financial Transactions,unknown,,,Payment,0,,,,,,,Payment,local
ONLINE TRANSFER TO BROUGH A EVERYDAY CHECKING GASOLINA,,,Transfers,unknown,,,To Brough A Everyday,0,,,,,,,To Brough A Everyday,local
AMAZON MKTPL*ZC6T787A0 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON RETA* Z71PU6QY2 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
AMZN Mktp US*ZC13P9SI0 Amzn.com/billWA,,,Amazon,unknown,,,Amzn Mktp Us Amzn.Com/Billwa,0,,,,,,,Amzn Mktp Us Amzn.Com/Billwa,local
"BUS TELE SVCS DIRECT DEP 250131A2Q FALENI,MICHEL",,,BTS,unknown,,,Bus Tele Svcs Direct,0,,,,,,,Bus Tele Svcs Direct,local
"BUS TELE SVCS DIRECT DEP 250131A2Q FALENI,MICHEL",,,BTS,unknown,,,Bus Tele Svcs Direct,0,,,,,,,Bus Tele Svcs Direct,local
INTEREST PAYMENT,,,Financial Transactions,unknown,,,Payment,0,,,,,,,Payment,local
ONLINE TRANSFER TO INSTALLMENT LOANS,,,Transfers,unknown,,,To Installment Loans,0,,,,,,,To Installment Loans,local
ONLINE TRANSFER TO PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,To Personal Line Of,0,,,,,,,To Personal Line Of,local
CVS/PHARMACY #03705 MIAMI,,,CVS,unknown,,,Cvs/Pharmacy Miami,0,,,,,,,Cvs/Pharmacy Miami,local
ONLINE TRANSFER TO BROUGH A EVERYDAY CHECKING MANICURE,,,Transfers,unknown,,,To Brough A Everyday,0,,,,,,,To Brough A Everyday,local
ZELLE TO BASKETBALL CHARLIE ON 01/30 BASKET LORENZO,,,Charlie,zelle,to,BASKETBALL CHARLIE ON 01,Zelle To BASKETBALL CHARLIE ON 01,0,,,,,,,Zelle To BASKETBALL CHARLIE ON 01,local
W ASPEN W ASPEN     ASPEN,,,W Aspen,unknown,,,W Aspen W Aspen,0,,,,,,,W Aspen W Aspen,local
W ASPEN W ASPEN     ASPEN,,,W Aspen,unknown,,,W Aspen W Aspen,0,,,,,,,W Aspen W Aspen,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON RETA* ZC52B74R1 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
TUMI STORES INC MIAMI,,,Tumi,unknown,,,Tumi Stores Inc Miami,0,,,,,,,Tumi Stores Inc Miami,local
SANTANDER CONSUM BILLPAY,,,Car Mich,unknown,,,Santander Consum Billpay,0,,,,,,,Santander Consum Billpay,local
MYPARK RESERVATION  MIAMI,,,MyPark,unknown,,,Mypark Reservation Miami,0,,,,,,,Mypark Reservation Miami,local
SMH CASHIERS OFFICE CORAL GABLES,,,SMH Cashiers Office,unknown,,,Smh Cashiers Office Coral,0,,,,,,,Smh Cashiers Office Coral,local
W ASPEN W ASPEN     ASPEN,,,W Aspen,unknown,,,W Aspen W Aspen,0,,,,,,,W Aspen W Aspen,local
AMERICAN0012210081492 PHOENIX AZNAME: FALENI/MICHEL DEPART:03/22/2025 LAX TO ASE: AA: CLASS:Y : STOP: O MIA TO LAX: AA: CLASS:Y : STOP: O,,,American Airlines,unknown,,,Phoenix Azname Faleni/Michel Depart,0,,,,,,,Phoenix Azname Faleni/Michel Depart,local
AMERICAN0012210081493 PHOENIX AZNAME: FALENI/ANDREINA DEPART:03/22/2025 LAX TO ASE: AA: CLASS:Y : STOP: O MIA TO LAX: AA: CLASS:Y : STOP: O,,,American Airlines,unknown,,,Phoenix Azname Faleni/Andreina Depart,0,,,,,,,Phoenix Azname Faleni/Andreina Depart,local
AMERICAN0012210081494 PHOENIX AZNAME: FALENI/LORENZO DEPART:03/22/2025 LAX TO ASE: AA: CLASS:Y : STOP: O MIA TO LAX: AA: CLASS:Y : STOP: O,,,American Airlines,unknown,,,Phoenix Azname Faleni/Lorenzo Depart,0,,,,,,,Phoenix Azname Faleni/Lorenzo Depart,local
AMERICAN0012210081555 PHOENIX AZNAME: FALENI/MICHEL DEPART:03/27/2025 DFW TO MIA: AA: CLASS:Y : STOP: O ASE TO DFW: AA: CLASS:Y : STOP: O,,,American Airlines,unknown,,,Phoenix Azname Faleni/Michel Depart,0,,,,,,,Phoenix Azname Faleni/Michel Depart,local
AMERICAN0012210081556 PHOENIX AZNAME: FALENI/ANDREINA DEPART:03/27/2025 DFW TO MIA: AA: CLASS:Y : STOP: O ASE TO DFW: AA: CLASS:Y : STOP: O,,,American Airlines,unknown,,,Phoenix Azname Faleni/Andreina Depart,0,,,,,,,Phoenix Azname Faleni/Andreina Depart,local
AMERICAN0012210081557 PHOENIX AZNAME: FALENI/LORENZO DEPART:03/27/2025 DFW TO MIA: AA: CLASS:Y : STOP: O ASE TO DFW: AA: CLASS:Y : STOP: O,,,American Airlines,unknown,,,Phoenix Azname Faleni/Lorenzo Depart,0,,,,,,,Phoenix Azname Faleni/Lorenzo Depart,local
"SQ *MASF DOCS, LLC MIAMI SPRINGS FL S585027731798631",,,Dr. Santos,unknown,,,"Sq Masf Docs, Llc",0,,,,,,,"Sq Masf Docs, Llc",local
AMAZON MARKETPLACE PAMZN.COM/BILL,,,Amazon,unknown,,,Amazon Marketplace Pamzn.Com/Bill,0,,,,,,,Amazon Marketplace Pamzn.Com/Bill,local
W ASPEN W ASPEN     ASPEN,,,W Aspen,unknown,,,W Aspen W Aspen,0,,,,,,,W Aspen W Aspen,local
W ASPEN W ASPEN     ASPEN,,,W Aspen,unknown,,,W Aspen W Aspen,0,,,,,,,W Aspen W Aspen,local
